State_Municipality,num_of_total,num_of_total_rural,num_of_total_urban
20378,8,4,4
20379,1,0,1
20380,2,0,2
20381,3,2,1
20382,1,0,1
20383,1,0,1
20384,1,0,1
20385,35,6,29
20386,28,19,9
20387,2,0,2
20388,3,0,3
20389,2,0,2
20390,21,0,21
20391,2,0,2
20392,11,10,1
20393,2,0,2
20394,5,3,2
20395,4,2,2
20396,4,0,4
20397,16,8,8
20398,2,0,2
20399,8,2,6
20400,2,0,2
20401,19,10,9
20402,2,0,2
20403,3,0,3
20404,1,0,1
20405,3,0,3
20406,29,16,13
20407,20,18,2
20408,1,0,1
20409,4,0,4
20410,13,8,5
20411,2,0,2
20412,5,0,5
20413,35,4,31
20414,5,3,2
20415,5,4,1
20416,1,0,1
20417,7,6,1
20418,5,2,3
20419,2,0,2
20420,2,0,2
20421,2,0,2
20422,3,1,2
20423,4,2,2
20424,10,2,8
20425,1,0,1
20426,11,9,2
20427,3,1,2
20428,4,0,4
20429,1,0,1
20431,2,0,2
20432,1,0,1
20433,5,3,2
20434,7,6,1
20435,1,0,1
20436,1,0,1
20437,6,3,3
20438,2,0,2
20439,31,27,4
20440,1,0,1
20441,4,0,4
20442,2,0,2
20443,2,0,2
20444,1,0,1
20445,1,1,0
20446,9,6,3
20447,15,7,8
20448,3,0,3
20449,1,0,1
20450,27,23,4
20451,3,1,2
20452,1,0,1
20453,6,2,4
20454,4,2,2
20455,1,0,1
20456,1,0,1
20457,4,3,1
20458,3,0,3
20459,9,2,7
20460,8,6,2
20461,1,0,1
20462,2,0,2
20463,1,0,1
20464,3,0,3
20465,3,0,3
20466,11,7,4
20467,8,4,4
20468,12,11,1
20469,37,25,12
20470,9,8,1
20471,2,0,2
20472,2,0,2
20473,3,0,3
20474,6,4,2
20475,8,2,6
20476,1,0,1
20477,1,0,1
20478,2,1,1
20479,1,0,1
20480,1,0,1
20481,2,1,1
20482,56,20,36
20483,5,3,2
20484,7,0,7
20485,1,0,1
20486,5,0,5
20487,1,0,1
20489,4,3,1
20490,1,0,1
20491,11,9,2
20492,11,7,4
20493,1,0,1
20494,16,10,6
20495,5,2,3
20496,3,1,2
20497,2,0,2
20498,11,10,1
20499,3,0,3
20500,10,3,7
20501,2,0,2
20502,9,7,2
20503,1,0,1
20504,2,0,2
20505,5,1,4
20506,2,0,2
20507,2,0,2
20508,2,0,2
20509,10,9,1
20510,2,0,2
20511,12,5,7
20512,2,0,2
20513,4,2,2
20514,2,0,2
20515,49,15,34
20516,5,2,3
20517,1,0,1
20519,2,0,2
20520,10,4,6
20521,4,0,4
20522,2,0,2
20523,1,0,1
20524,2,0,2
20525,11,7,4
20526,15,6,9
20527,1,0,1
20528,1,0,1
20529,4,2,2
20530,5,2,3
20531,2,0,2
